x,y
-7563,13760
-7574,13820
-7601,13894
-7636,13955
-7690,14019
-7735,14056
-7783,14084
-7833,14102
-7890,14112
-7951,14112
-8017,14100
-8090,14073
-8172,14026
-8266,13947
-8389,13801
-8482,13639
-8519,13536
-8532,13461
-8532,13402
-8523,13351
-8508,13310
-8487,13274
-8460,13242
-8410,13242
-8304,13261
-8245,13282
-8197,13309
-8148,13350
-8102,13405
-8050,13494
-7997,13639
-7990,13679
-7990,13722
-7999,13770
-8014,13811
-8045,13864
-8079,13905
-8142,13958
-8185,13983
-8230,13999
-8283,14008
-8337,14008
-8395,13998
-8459,13975
-8531,13934
-8625,13855
-8740,13718
-8803,13609
-8833,13526
-8845,13457
-8845,13399
-8835,13343
-8818,13297
-8794,13255
-8743,13255
-8699,13263
-8651,13280
-8604,13307
-8555,13348
-8498,13416
-8429,13535
-8404,13603
-8398,13638
-8398,13670
-8404,13704
-8417,13740
-8448,13793
-8483,13835
-8547,13889
-8621,13932
-8671,13950
-8729,13960
-8793,13960
-8869,13947
-8954,13916
-9072,13848
-9220,13724
-9338,13583
-9401,13473
-9427,13400
-9438,13338
-9438,13285
-9429,13234
-9414,13192
-9390,13151
-9206,13151
-9162,13159
-9129,13171
-9099,13188
-9066,13216
-9035,13253
-9002,13309
-8963,13415
-8951,13485
-8951,13541
-8959,13584
-8974,13626
-8999,13669
-9042,13720
-9098,13767
-9192,13821
-9251,13843
-9322,13855
-9397,13855
-9486,13839
-9585,13803
-9707,13733
-9821,13638
-9876,13573
-9906,13521
-9923,13473
-9930,13434
-9930,13396
-9924,13362
-9904,13308
-9854,13308
-9828,13313
-9805,13321
-9782,13334
-9756,13356
-9730,13387
-9698,13442
-9645,13588
-9632,13661
-9632,13723
-9641,13772
-9661,13827
-9701,13896
-9755,13960
-9819,14014
-9885,14052
-9962,14080
-10052,14096
-10156,14096
-10279,14074
-10439,14016
-10520,13969
-10561,13935
-10588,13903
-10603,13877
-10612,13852
-10616,13829
-10616,13805
-10609,13763
-10556,13763
-10526,13768
-10508,13775
-10492,13784
-10481,13793
-10471,13804
-10460,13823
-10446,13861
-10430,13951
-10430,14033
-10441,14097
-10460,14149
-10496,14212
-10554,14281
-10627,14343
-10707,14389
-10797,14422
-10901,14440
-11022,14440
-11171,14414
-11313,14362
-11345,14343
-11358,14332
-11366,14323
-11372,14313
-11377,14301
-11380,14286
-11380,14269
-11372,14226
-11321,14226
-11286,14232
-11263,14240
-11246,14250
-11234,14260
-11225,14271
-11219,14282
-11214,14295
-11212,14306
-11212,14321
-11244,14503
-11275,14589
-11315,14658
-11358,14709
-11420,14761
-11509,14812
-11604,14846
-11705,14864
-11814,14864
-11930,14843
-12058,14796
-12201,14714
-12207,14709
-12211,14704
-12214,14699
-12216,14693
-12217,14688
-12217,14679
-12216,14671
-12214,14665
-12207,14653
-12188,14630
-12137,14630
-12099,14637
-12077,14645
-12059,14655
-12045,14667
-12035,14679
-12028,14691
-12024,14702
-12022,14714
-12022,14728
-12024,14742
-12029,14755
-12038,14771
-12099,14844
-12160,14895
-12240,14941
-12344,14979
-12451,14998
-12564,14998
-12680,14977
-12686,14975
-12691,14972
-12697,14967
-12700,14963
-12703,14958
-12704,14956
-12705,14950
-12705,14949
-12704,14945
-12703,14942
-12700,14936
-12694,14929
-12687,14923
-12675,14916
-12640,14903
-12589,14903
-12558,14908
-12535,14916
-12518,14926
-12504,14938
-12494,14950
-12489,14959
-12484,14972
-12482,14986
-12482,14999
-12485,15015
-12490,15029
-12497,15042
-12509,15056
-12584,15119
-12665,15166
-12779,15207
-12899,15228
-13021,15228
-13034,15226
-13042,15223
-13050,15219
-13057,15213
-13062,15207
-13064,15203
-13066,15198
-13068,15189
-13068,15183
-13067,15178
-13064,15170
-13059,15162
-13052,15154
-13045,15148
-13031,15140
-12993,15126
-12951,15126
-12923,15131
-12906,15137
-12894,15144
-12882,15154
-12875,15163
-12869,15173
-12864,15188
-12862,15199
-12862,15212
-12864,15226
-12868,15237
-12878,15254
-12891,15269
-12911,15286
-12994,15334
-13114,15378
-13242,15401
-13268,15401
-13286,15398
-13293,15395
-13301,15390
-13305,15387
-13308,15384
-13310,15380
-13313,15372
-13314,15366
-13314,15360
-13313,15353
-13311,15348
-13308,15344
-13301,15336
-13291,15328
-13276,15319
-13244,15307
-13192,15307
-13158,15313
-13140,15320
-13124,15329
-13111,15340
-13102,15350
-13096,15360
-13092,15370
-13090,15383
-13090,15396
-13092,15410
-13098,15426
-13107,15442
-13120,15458
-13141,15476
-13176,15496
-13307,15544
-13447,15569
-13463,15569
-13479,15566
-13491,15562
-13497,15558
-13502,15554
-13503,15553
-13506,15547
-13509,15540
-13510,15535
-13510,15530
-13509,15523
-13507,15518
-13504,15513
-13498,15506
-13487,15497
-13469,15486
-13435,15474
-13390,15474
-13366,15478
-13348,15485
-13332,15494
-13322,15502
-13314,15511
-13310,15519
-13306,15529
-13304,15541
-13304,15554
-13307,15568
-13312,15582
-13320,15596
-13332,15610
-13353,15628
-13387,15648
-13534,15702
-13686,15729
-13714,15729
-13729,15726
-13737,15723
-13746,15718
-13750,15714
-13754,15709
-13756,15705
-13758,15700
-13759,15696
-13759,15690
-13758,15682
-13756,15676
-13752,15670
-13746,15663
-13738,15656
-13722,15647
-13694,15637
-13626,15637
-13597,15642
-13577,15649
-13562,15658
-13552,15666
-13544,15676
-13537,15688
-13533,15700
-13531,15712
-13531,15725
-13533,15738
-13538,15753
-13546,15767
-13559,15782
-13579,15799
-13615,15820
-13774,15878
-13942,15908
-13963,15908
-13975,15906
-13979,15905
-13984,15902
-13988,15899
-13993,15894
-13994,15892
-13995,15890
-13996,15885
-13996,15880
-13995,15876
-13992,15869
-13989,15865
-13985,15860
-13978,15854
-13966,15847
-13946,15840
-13891,15840
-13862,15845
-13843,15852
-13827,15861
-13815,15871
-13806,15882
-13800,15892
-13796,15904
-13794,15917
-13794,15930
